DateTime	Price
2024-05-24 0:00	0.000238136
2024-05-25 0:00	0.000247463
2024-05-26 0:00	0.000219124
2024-05-27 0:00	0.000213431
2024-05-28 0:00	0.000221646
2024-05-29 0:00	0.000249071
2024-05-30 0:00	0.000342141
2024-05-31 0:00	0.000371946
2024-06-01 0:00	0.00033192
2024-06-02 0:00	0.000275993
2024-06-03 0:00	0.000288849
2024-06-04 0:00	0.000229867
2024-06-05 0:00	0.000192147
2024-06-06 0:00	0.000202054
2024-06-07 0:00	0.000165912
2024-06-08 0:00	0.000164629
2024-06-09 0:00	0.000189394
2024-06-10 0:00	0.000137751
2024-06-11 0:00	0.000152959
2024-06-12 0:00	0.000158701
2024-06-13 0:00	0.000153392
2024-06-14 0:00	0.000148862
2024-06-18 0:00	0.000133622
2024-06-19 0:00	0.000140007
2024-06-20 0:00	0.000149478
2024-06-21 0:00	0.000130208
2024-06-22 0:00	0.000117556
2024-06-23 0:00	0.000100441
2024-06-24 0:00	0.00010818
2024-06-25 0:00	9.95188E-05
2024-06-26 0:00	9.24495E-05
2024-06-27 0:00	8.05516E-05
2024-06-28 0:00	7.73026E-05
2024-06-29 0:00	7.36798E-05
2024-06-30 0:00	7.90426E-05
2024-07-01 0:00	8.01031E-05
2024-07-02 0:00	8.55829E-05
2024-07-03 0:00	9.05922E-05
2024-07-04 0:00	0.000103422
2024-07-05 0:00	8.61745E-05
2024-07-06 0:00	9.82637E-05
2024-07-07 0:00	0.000114991
2024-07-08 0:00	0.000112006
2024-07-09 0:00	0.00010317
2024-07-10 0:00	0.0001002
2024-07-11 0:00	9.51699E-05
2024-07-12 0:00	9.88173E-05
2024-07-13 0:00	9.87684E-05
2024-07-14 0:00	9.11015E-05
2024-07-15 0:00	9.29854E-05
2024-07-16 0:00	0.000101504
2024-07-17 0:00	9.42957E-05
2024-07-18 0:00	9.67558E-05
2024-07-19 0:00	9.42134E-05
2024-07-20 0:00	9.12953E-05
2024-07-21 0:00	9.19103E-05
2024-07-22 0:00	9.21948E-05
2024-07-23 0:00	9.09181E-05
2024-07-24 0:00	8.76207E-05
2024-07-25 0:00	8.24133E-05
2024-07-26 0:00	8.36383E-05
2024-07-27 0:00	9.2794E-05
2024-07-28 0:00	8.95499E-05
2024-07-29 0:00	8.8486E-05
2024-07-30 0:00	8.82917E-05
2024-07-31 0:00	9.21047E-05
2024-08-01 0:00	8.73745E-05
2024-08-02 0:00	8.39281E-05
2024-08-03 0:00	8.24292E-05
2024-08-04 0:00	7.91232E-05
2024-08-05 0:00	6.52579E-05
2024-08-06 0:00	7.21463E-05
2024-08-07 0:00	7.17562E-05
2024-08-08 0:00	7.24601E-05
2024-08-09 0:00	7.71375E-05
2024-08-10 0:00	7.37546E-05
2024-08-11 0:00	7.16569E-05
2024-08-12 0:00	7.30063E-05
2024-08-13 0:00	7.57585E-05
2024-08-14 0:00	7.30463E-05
2024-08-15 0:00	7.18648E-05
2024-08-16 0:00	6.56223E-05
2024-08-17 0:00	6.1932E-05
2024-08-18 0:00	6.32128E-05
2024-08-19 0:00	6.21158E-05
2024-08-20 0:00	6.05057E-05
2024-08-21 0:00	6.12974E-05
2024-08-22 0:00	6.35948E-05
2024-08-23 0:00	6.03971E-05
2024-08-24 0:00	6.08973E-05
2024-08-25 0:00	5.98725E-05
2024-08-26 0:00	6.00526E-05
2024-08-27 0:00	6.04391E-05
2024-08-28 0:00	6.16942E-05
2024-08-29 0:00	6.07229E-05
2024-08-30 0:00	6.04893E-05
2024-08-31 0:00	5.94312E-05
2024-09-01 0:00	6.52339E-05
2024-09-02 0:00	7.08208E-05
2024-09-03 0:00	7.02094E-05
2024-09-04 0:00	6.98169E-05
2024-09-05 0:00	6.94693E-05
2024-09-06 0:00	6.89665E-05
2024-09-07 0:00	6.8885E-05
2024-09-08 0:00	6.91692E-05
2024-09-09 0:00	7.05245E-05
2024-09-10 0:00	7.53494E-05
2024-09-11 0:00	9.48235E-05
